Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,Sales_Growth,Satisfaction_Growth,Engagement_Score,ROI_index
Control,Medium Value,240.9665939,290.1160755,76.66504191,70.78850148,No,49.1494816,-5.87654043,18.99961,20.39680306
Control,Medium Value,,243.3593597,81.92199898,92.32147794,Yes,243.3593597,10.39947896,0,0
Treatment,,168.6732748,248.3276513,46.68214603,47.96230371,Yes,79.6543765,1.28015768,11.80372,47.22406475
Control,Low Value,186.4602655,211.8852421,46.45559611,55.25073838,No,25.4249766,8.79514227,11.74934,13.63560034
Control,,184.1940793,222.2082779,43.93437424,38.82892582,Yes,38.0141986,-5.10544842,11.14425,20.63812189
Control,Medium Value,288.4354317,350.5594657,,67.82018957,No,62.124034,67.82018957,0.6,21.53828108
Treatment,High Value,165.3619289,267.8384757,94.4822153,100,No,102.4765468,5.5177847,23.27573,61.97106401
Treatment,High Value,246.5394065,386.512662,,80.3696065,No,139.9732555,80.3696065,0.6,56.77520583
Treatment,Low Value,219.1541769,336.6919362,52.66767029,71.29311888,,117.5377593,18.62544859,13.24024,53.63245226
Treatment,High Value,341.0204344,527.6711626,87.54673317,100,No,186.6507282,12.45326683,21.61122,54.73300406
Treatment,Low Value,169.6406552,262.8319948,53.0933788,66.91748235,Yes,93.1913396,13.82410355,13.34241,54.93455533
Treatment,High Value,,288.4494882,,100,Yes,288.4494882,100,0,0
,Medium Value,255.0376814,395.5094826,50.74740641,37.526874,No,140.4718012,-13.22053241,12.77938,55.07884185
Control,Low Value,204.7266598,238.6200322,,59.56164655,Yes,33.8933724,59.56164655,0.6,16.55542685
Control,High Value,226.4426691,269.2749901,,100,No,42.832321,100,0.6,18.91530477
Treatment,Medium Value,247.2998916,368.6424639,64.70920201,67.83849305,No,121.3425723,3.12929104,16.13021,49.06697351
,High Value,278.4239621,326.4019561,85.97953432,82.78051743,,47.977994,-3.19901689,21.23509,17.23199169
Control,Medium Value,250.7102687,295.3680811,,97.95041194,,44.6578124,97.95041194,0.6,17.81251826
Treatment,Medium Value,,354.9918336,83.5869439,68.98262224,Yes,354.9918336,-14.60432166,0,0
Control,High Value,303.1879808,349.1634749,80.22701995,,No,45.9754941,-80.22701995,19.85448,15.16402266
Control,,249.6481921,287.616515,100,100,No,37.9683229,0,24.6,15.20873137
Control,Medium Value,228.3794288,270.3435937,68.96533159,,No,41.9641649,-68.96533159,17.15168,18.37475692
Control,Medium Value,253.740727,306.0454798,79.01223989,87.18768395,Yes,52.3047528,8.17544406,19.56294,20.61346376
Control,Medium Value,,181.1176271,71.70643615,62.64637211,No,181.1176271,-9.06006404,0,0
Treatment,Low Value,,336.7291087,49.9615216,39.09710285,Yes,336.7291087,-10.86441875,0,0
Treatment,Medium Value,199.6871029,313.8521628,81.17300361,89.63703387,Yes,114.1650599,8.46403026,20.08152,57.17197468
Treatment,Low Value,134.5871008,224.9389239,46.18629383,50.06796582,No,90.3518231,3.88167199,11.68471,67.13260228
Control,Medium Value,237.5775314,279.572757,69.87147468,78.17372335,No,41.9952256,8.30224867,17.36915,17.67642982
Treatment,Low Value,,272.4808968,70.24902619,50.46624818,,272.4808968,-19.78277801,0,0
Control,Medium Value,139.9361348,169.1946576,67.80029812,82.56306305,Yes,29.2585228,14.76276493,16.87207,20.90848289
Control,Medium Value,168.783747,204.1928401,58.49665966,,Yes,35.4090931,-58.49665966,14.6392,20.97897086
Control,,303.5765199,352.6931138,,80.44511589,,49.1165939,80.44511589,0.6,16.17931252
Control,High Value,211.7544763,242.6250014,100,93.56189891,Yes,30.8705251,-6.43810109,24.6,14.5784522
Treatment,High Value,263.6426107,394.1572434,92.20852932,93.50018304,Yes,130.5146327,1.29165372,22.73005,49.50437729
Treatment,,171.5045737,257.1948733,63.27967004,73.45977254,No,85.6902996,10.1801025,15.78712,49.96385679
Control,Low Value,286.0420657,344.8085993,71.77638476,76,No,58.7665336,4.22361524,17.82633,20.54471725
Treatment,,195.5280022,303.4166712,,70.19923164,Yes,107.888669,70.19923164,0.6,55.17811658
Control,Medium Value,177.3509025,210.2921603,71.95489155,81.33169308,No,32.9412578,9.37680153,17.86917,18.57405704
,,286.9859433,433.9911617,53.62104974,56.61584893,Yes,147.0052184,2.99479919,13.46905,51.2238393
Treatment,Low Value,290.3673174,441.199264,44.31978172,51.62579778,No,150.8319466,7.30601606,11.23675,51.94522164
Control,High Value,222.5221832,263.6141954,100,,No,41.0920122,-100,24.6,18.46647899
Treatment,,,251.3002756,76,76,No,251.3002756,0,0,0
Control,Medium Value,330.9378118,396.5743297,85.66776152,100,No,65.6365179,14.33223848,21.16026,19.83349003
Treatment,,,371.5496522,77.30111053,,Yes,371.5496522,-77.30111053,0,0
Control,Low Value,181.5898819,208.422496,,63.43605656,No,26.8326141,63.43605656,0.6,14.77649185
,Medium Value,120.9317646,140.6525122,66.10096779,77.55034645,No,19.7207476,11.44937866,16.46423,16.30733469
Treatment,Medium Value,208.0494992,320.8496119,66.2714738,92.97398038,,112.8001127,26.70250658,16.50515,54.2179208
Treatment,Medium Value,,232.2616439,,40.6448767,No,232.2616439,40.6448767,0,0
,High Value,219.7708356,260.3273868,96.90989101,100,Yes,40.5565512,3.09010899,23.85837,18.45401875
Treatment,High Value,128.7332807,195.4367218,73.97387911,66.49355445,Yes,66.7034411,-7.48032466,18.35373,51.8152266
Treatment,Medium Value,278.5138819,431.3905235,48.28787305,37.42374376,No,152.8766416,-10.86412929,12.18909,54.8901335
Control,High Value,,,84.89570498,77.71620336,Yes,0,-7.17950162,0,0
Control,Low Value,107.7744474,122.2477027,,28.23127483,,14.4732553,28.23127483,0.6,13.42920855
,,179.101261,278.548081,64.43460246,79.43886703,No,99.44682,15.00426457,16.0643,55.52547171
Control,Medium Value,269.0208483,322.4497813,77.02832769,,No,53.428933,-77.02832769,19.0868,19.86051763
,,223.3488336,,100,98.39393561,Yes,-223.3488336,-1.60606439,24.6,-100
Control,Medium Value,194.9965793,240.1382803,77.81753871,,,45.141701,-77.81753871,19.27621,23.14999635
Treatment,Low Value,216.2120679,334.7157005,51.38154606,66.39001145,Yes,118.5036326,15.00846539,12.93157,54.80898164
Treatment,High Value,228.7029787,354.9342529,,100,No,126.2312742,100,0.6,55.19441632
,High Value,310.6968037,362.3629321,77.57357791,87.09915449,Yes,51.6661284,9.52557658,19.21766,16.62911487
Treatment,Medium Value,197.6751938,312.0893022,86.13021256,85.52236351,No,114.4141084,-0.60784905,21.27125,57.87985139
Control,Medium Value,208.7441441,258.7218245,58.47285665,51.78953618,No,49.9776804,-6.68332047,14.63349,23.94207541
Treatment,,340.8855818,528.4534481,72.76506446,64.73880455,Yes,187.5678663,-8.02625991,18.06362,55.02370189
Control,High Value,,264.0931322,,100,No,264.0931322,100,0,0
Control,Medium Value,230.0514975,279.1429754,50.95402792,,Yes,49.0914779,-50.95402792,12.82897,21.3393429
Treatment,Low Value,183.3766981,291.7872543,35.88321973,44.51547408,Yes,108.4105562,8.63225435,9.21197,59.11904693
Control,Medium Value,98.26923793,115.7396028,78.55508879,80.85158301,No,17.47036487,2.29649422,19.45322,17.7780608
Treatment,,261.29018,398.9149937,70.24902619,60.30694414,Yes,137.6248137,-9.94208205,17.45977,52.67125374
Treatment,,327.1122358,516.4530297,93.09836239,80.49710251,No,189.3407939,-12.60125988,22.94361,57.88251651
Control,Medium Value,282.7482301,343.1414787,62.03634341,65.8022462,No,60.3932486,3.76590279,15.48872,21.35937282
Control,High Value,218.464846,260.0009469,,100,Yes,41.5361009,100,0.6,19.01271608
Treatment,Medium Value,207.9041181,328.8664806,76.01085796,80.36311704,Yes,120.9623625,4.35225908,18.84261,58.18180208
Control,Low Value,,250.477522,62.53381946,70.67790305,No,250.477522,8.14408359,0,0
Control,Low Value,204.0786105,248.8813667,57.99072405,50.20257408,No,44.8027562,-7.78814997,14.51777,21.95367564
Control,High Value,,323.7409376,92.17799643,,,323.7409376,-92.17799643,0,0
Control,High Value,252.9822072,297.6744907,,100,No,44.6922835,100,0.6,17.6661766
Control,,206.7927775,,63.04354387,65.07145664,No,-206.7927775,2.02791277,15.73045,-100
Treatment,,226.0781361,354.5873046,70.88061403,83.47451121,No,128.5091685,12.59389718,17.61135,56.84281139
Treatment,Low Value,239.2482743,371.358831,61.09374506,66.07905938,Yes,132.1105567,4.98531432,15.2625,55.21902178
Control,,,,44.97165415,38.63756601,No,0,-6.33408814,0,0
Control,Low Value,167.6333856,204.7237603,66.77547301,65.65214078,Yes,37.0903747,-1.12333223,16.62611,22.12588773
Control,,254.9178896,294.160314,88.05957402,94.52588255,,39.2424244,6.46630853,21.7343,15.39414298
Treatment,,203.6433144,320.5292722,74.92672386,99.17003976,Yes,116.8859578,24.2433159,18.58241,57.39739512
Control,High Value,253.5843338,307.2636824,82.52302893,80.12439963,No,53.6793486,-2.3986293,20.40553,21.16824324
Treatment,Medium Value,263.8375822,411.9713969,77.03290663,75.89072794,No,148.1338147,-1.14217869,19.0879,56.14583543
Treatment,Low Value,,281.567997,57.53471391,58.90189376,No,281.567997,1.36717985,0,0
Treatment,High Value,,198.588256,79.43678523,,Yes,198.588256,-79.43678523,0,0
Control,High Value,295.3135214,352.3129247,85.33044328,100,No,56.9994033,14.66955672,21.07931,19.30131849
Treatment,,234.3341411,352.98153,76.15214148,88.22987568,Yes,118.6473889,12.0777342,18.87651,50.63171262
,,218.9188155,261.2934572,100,100,No,42.3746417,0,24.6,19.35632696
Treatment,,,267.0254152,50.24110552,59.29841233,No,267.0254152,9.05730681,0,0
Control,High Value,,293.6597476,,98.73492135,Yes,293.6597476,98.73492135,0,0
Treatment,High Value,204.8556324,307.2318441,97.77595973,,No,102.3762117,-97.77595973,24.06623,49.97480933
Control,Medium Value,187.4583572,225.9596025,70.27020278,70.22182757,Yes,38.5012453,-0.04837521,17.46485,20.538559
Treatment,High Value,166.8010139,258.482204,100,100,No,91.6811901,0,24.6,54.96440816
Control,Medium Value,189.7531455,229.2849836,64.86736248,55.67964705,Yes,39.5318381,-9.18771543,16.16817,20.83329791
Control,Medium Value,255.8944678,304.0525432,59.24622511,64.12939406,No,48.1580754,4.88316895,14.81909,18.81950627
Control,High Value,159.7475095,,100,100,No,-159.7475095,0,24.6,-100
Control,Low Value,239.015721,281.7701293,51.49037386,55.95653031,Yes,42.7544083,4.46615645,12.95769,17.88769714
Treatment,Medium Value,163.3231794,255.6357194,61.41462183,73.21364156,No,92.31254,11.79901973,15.33951,56.52139539
Treatment,High Value,243.4656832,370.8757562,80.87619174,75.42607076,Yes,127.410073,-5.45012098,20.01029,52.3318405
Control,Medium Value,245.4192392,,84.88954728,90.11706053,No,-245.4192392,5.22751325,20.97349,-100
Treatment,Low Value,223.7830978,344.1920148,71.6683212,72.70190356,Yes,120.408917,1.03358236,17.8004,53.80608195
Control,,236.6144843,279.3131962,47.96477993,44.6972942,No,42.6987119,-3.26748573,12.11155,18.04568813
Control,Medium Value,206.9741896,255.8920394,70.42603313,,No,48.9178498,-70.42603313,17.50225,23.63475847
Treatment,,191.0319948,297.1497096,56.5310107,69.10033789,No,106.1177148,12.56932719,14.16744,55.54970774
Control,High Value,271.7933129,317.1870094,67.01584228,70.96830067,,45.3936965,3.95245839,16.6838,16.70155017
Control,High Value,248.9617148,,,77.35582833,No,-248.9617148,77.35582833,0.6,-100
Treatment,Medium Value,197.8499146,297.0283102,89.04154084,89.96313373,No,99.1783956,0.92159289,21.96997,50.12809624
Control,Low Value,215.211647,253.8284478,51.20357493,55.10341244,Yes,38.6168008,3.89983751,12.88886,17.9436389
Control,High Value,,279.5809591,100,100,No,279.5809591,0,0,0
Control,High Value,,,89.68533431,85.02287325,No,0,-4.66246106,0,0
Control,High Value,228.8584627,259.7633438,61.53811729,73.86335573,No,30.9048811,12.32523844,15.36915,13.5039276
Treatment,Medium Value,233.651336,353.7682417,,99.33824507,Yes,120.1169057,99.33824507,0.6,51.40861069
Treatment,Medium Value,178.7576031,267.823752,69.57261069,80.0472931,No,89.0661489,10.47468241,17.29743,49.82509687
Treatment,High Value,300.2296719,457.4572316,100,100,Yes,157.2275597,0,24.6,52.3690942
Control,High Value,203.2259941,242.1151222,95.12653041,97.1631462,Yes,38.8891281,2.03661579,23.43037,19.13590251
Control,,,107.969095,55.45620252,56.48291688,Yes,107.969095,1.02671436,0,0
Treatment,Low Value,219.3801262,335.8305771,57.70373525,58.34590679,Yes,116.4504509,0.64217154,14.4489,53.08158625
,Low Value,,86.96403182,56.78926552,62.14159383,Yes,86.96403182,5.35232831,0,0
,Medium Value,165.819531,200.7065578,53.21845797,54.08890646,No,34.8870268,0.87044849,13.37243,21.03915419
,High Value,380.2568078,454.6784193,100,96.48086001,No,74.4216115,-3.51913999,24.6,19.57140805
Control,,262.804699,308.7638334,69.48433923,80.16240961,Yes,45.9591344,10.67807038,17.27624,17.48794241
Treatment,High Value,292.4125077,447.8902158,90.11123657,100,No,155.4777081,9.88876343,22.2267,53.17067636
Treatment,Low Value,139.3506662,211.3233,57.56955664,70.75066993,,71.9726338,13.18111329,14.41669,51.64857533
,Low Value,188.5322075,298.1083658,,56.88035646,No,109.5761583,56.88035646,0.6,58.12065734
Control,Low Value,255.1308759,305.5381879,62.04567324,,No,50.407312,-62.04567324,15.49096,19.75743305
Treatment,Low Value,222.1812289,355.8029857,60.51337296,75.93141125,No,133.6217568,15.41803829,15.12321,60.14088475
Treatment,,286.8767217,447.485695,66.46582442,60.07653168,Yes,160.6089733,-6.38929274,16.5518,55.98536275
Control,Low Value,276.3258026,323.6446532,53.0899195,,,47.3188506,-53.0899195,13.34158,17.12429681
Control,High Value,277.3445779,317.8315606,79.15142928,,Yes,40.4869827,-79.15142928,19.59634,14.59807976
Treatment,High Value,173.1622069,259.827841,91.13810078,,Yes,86.6656341,-91.13810078,22.47314,50.04881588
Treatment,Medium Value,253.0036561,377.2721493,68.14620266,88.6635089,No,124.2684932,20.51730624,16.95509,49.11727171
Treatment,Low Value,179.8304419,270.9916165,70.05282257,67.41883087,No,91.1611746,-2.6339917,17.41268,50.69284913
Treatment,Low Value,140.1796384,214.8653718,43.32889626,54.09302681,,74.6857334,10.76413055,10.99894,53.278589
Control,Medium Value,267.566803,309.7253045,72.75993734,62.54467769,Yes,42.1585015,-10.21525965,18.06238,15.75625265
,High Value,294.9524184,462.1987418,90.87732425,79.58129196,No,167.2463234,-11.29603229,22.41056,56.70281475
Treatment,Low Value,192.3998014,292.5596447,50.28722109,47.46872341,Yes,100.1598433,-2.81849768,12.66893,52.05818435
Control,High Value,253.4225526,305.7980816,87.40263063,100,No,52.375529,12.59736937,21.57663,20.66727229
Treatment,Medium Value,112.821279,164.0785395,94.49868987,97.55607192,Yes,51.2572605,3.05738205,23.27969,45.43226327
,,,363.8762121,,100,No,363.8762121,100,0,0
Control,Low Value,228.669626,268.5845628,65.84185125,62.75903423,No,39.9149368,-3.08281702,16.40204,17.45528582
Control,High Value,248.5745044,292.990826,,87.60235493,Yes,44.4163216,87.60235493,0.6,17.86841402
Treatment,,,254.5106303,,90.01507006,Yes,254.5106303,90.01507006,0,0
Treatment,Low Value,,176.3515904,48.20240586,58.4016766,No,176.3515904,10.19927074,0,0
Control,Low Value,281.4495211,337.89626,47.99563821,55.91788221,Yes,56.4467389,7.922244,12.11895,20.05572391
,High Value,187.2129273,275.1562669,66.95732169,70.56434052,Yes,87.9433396,3.60701883,16.66976,46.97503579
Treatment,High Value,,388.3871709,78.43874876,77.60670387,,388.3871709,-0.83204489,0,0
Control,,94.21035866,123.4010795,37.83114529,99.83992775,,29.19072084,62.00878246,9.67947,30.98461916
Control,Low Value,,107.2060668,66.05231973,76,Yes,107.2060668,9.94768027,0,0
Treatment,,253.61082,399.5863125,89.89034661,88.99530184,,145.9754925,-0.89504477,22.17368,57.55885829
Control,Low Value,,253.4245145,,63.88010262,Yes,253.4245145,63.88010262,0,0
Treatment,,139.233526,199.7772316,83.25878373,,No,60.5437056,-83.25878373,20.58211,43.48356846
Treatment,High Value,293.9705991,470.7736329,85.21632647,90.26244569,No,176.8030338,5.04611922,21.05192,60.14310082
Treatment,High Value,,324.9051196,76.7451005,82.87165972,No,324.9051196,6.12655922,0,0
,High Value,181.3544884,,80.19138311,,No,-181.3544884,-80.19138311,19.84593,-100
,,146.8599971,177.3947319,,61.62140384,No,30.5347348,61.62140384,0.6,20.79173049
Control,,258.9845498,303.3642463,74.44468218,58.01753639,Yes,44.3796965,-16.42714579,18.46672,17.13604017
Control,,105.7529107,124.4948984,,,No,18.7419877,0,0.6,17.72243201
Control,High Value,177.7915153,211.3289629,82.03362085,,Yes,33.5374476,-82.03362085,20.28807,18.86335664
,Medium Value,,369.31642,87.3636474,72.23167837,No,369.31642,-15.13196903,0,0
Treatment,High Value,,411.1338016,100,97.59822214,No,411.1338016,-2.40177786,0,0
Control,High Value,182.5441624,212.3892791,90.64828024,100,No,29.8451167,9.35171976,22.35559,16.34953225
Treatment,Low Value,249.2149193,376.4816323,61.23229824,71.39712134,Yes,127.266713,10.1648231,15.29575,51.06705223
,High Value,172.4955848,279.1909524,82.01745493,81.62189082,No,106.6953676,-0.39556411,20.28419,61.85397019
,,208.7663618,331.2433277,,93.82428338,Yes,122.4769659,93.82428338,0.6,58.66700212
,High Value,221.780164,261.0976993,96.6474847,97.80873879,Yes,39.3175353,1.16125409,23.7954,17.72815683
,,227.366275,260.7621579,,,No,33.3958829,0,0.6,14.68814269
Control,Low Value,189.0293218,226.8084588,,,Yes,37.779137,0,0.6,19.98586073
Treatment,,197.8055866,304.8930981,77.55376149,71.9386396,Yes,107.0875115,-5.61512189,19.2129,54.13775887
,Low Value,188.9112645,,54.66034286,49.68868459,Yes,-188.9112645,-4.97165827,13.71848,-100
Control,,222.7088471,272.7214232,97.53740787,82.08666073,No,50.0125761,-15.45074714,24.00898,22.45648377
Control,Low Value,241.9865121,284.9309248,54.7899216,,No,42.9444127,-54.7899216,13.74958,17.74661419
,Low Value,185.5192007,227.7611518,,58.63749198,Yes,42.2419511,58.63749198,0.6,22.76958446
Control,Low Value,234.9278485,286.4666974,,66.75198122,No,51.5388489,66.75198122,0.6,21.93816069
,,,245.9825135,52.03270476,69.4144175,,245.9825135,17.38171274,0,0
Treatment,High Value,261.5886681,408.5783041,81.27582297,85.25833143,Yes,146.989636,3.98250846,20.1062,56.19113285
Treatment,,279.8927925,442.6562467,100,100,No,162.7634542,0,24.6,58.15207056
Control,Medium Value,162.1017615,188.7809637,66.66619661,71.69847831,No,26.6792022,5.0322817,16.59989,16.45830493
Control,Low Value,227.0097577,262.6856922,52.54376553,58.74165219,No,35.6759345,6.19788666,13.2105,15.71559516
Treatment,Low Value,183.8052442,304.577683,51.49852264,65.94108253,No,120.7724388,14.44255989,12.95965,65.70674266
,Medium Value,177.310249,285.1178581,63.38342263,,No,107.8076091,-63.38342263,15.81202,60.80167938
Control,Low Value,230.7109616,275.5220774,65.29436553,76,No,44.8111158,10.70563447,16.27065,19.4230545
Control,,197.6087449,220.9462291,55.95532697,57.5902989,Yes,23.3374842,1.63497193,14.02928,11.80994506
Control,High Value,,308.8078826,94.79396238,100,No,308.8078826,5.20603762,0,0
Control,Medium Value,82.85530136,108.483982,69.81016337,88.04518842,Yes,25.62868064,18.23502505,17.35444,30.93185375
Treatment,Low Value,231.1642464,366.7363257,58.84241979,65.65919617,Yes,135.5720793,6.81677638,14.72218,58.64751207
Control,Medium Value,342.7880014,406.7022623,70.39114127,72.83376418,No,63.9142609,2.44262291,17.49387,18.64541951
Control,High Value,,274.7249364,96.52906189,100,No,274.7249364,3.47093811,0,0
Control,Low Value,177.9114778,218.8953535,56.39589899,,No,40.9838757,-56.39589899,14.13502,23.03610549
Control,High Value,214.9929168,253.1050844,95.45262317,100,No,38.1121676,4.54737683,23.50863,17.72717361
Treatment,High Value,,420.2213378,100,100,Yes,420.2213378,0,0,0
,,203.3765317,316.8989424,52.48871744,,Yes,113.5224107,-52.48871744,13.19729,55.81883502
Treatment,High Value,415.1015489,648.5524882,,100,Yes,233.4509393,100,0.6,56.2394768
Control,Low Value,272.1376045,317.8550866,47.03286825,54.40242656,No,45.7174821,7.36955831,11.88789,16.79939903
,High Value,287.8165606,346.3446633,83.65636082,98.69032128,Yes,58.5281027,15.03396046,20.67753,20.33521024
Treatment,,222.2983982,333.860152,79.01128433,69.63330815,No,111.5617538,-9.37797618,19.56271,50.185586
Control,Medium Value,158.5464117,195.3141201,66.79949467,76.69966758,No,36.7677084,9.90017291,16.63188,23.19050176
Control,High Value,,257.5791572,100,,No,257.5791572,-100,0,0
Treatment,Medium Value,212.4192364,329.9243138,66.43414178,67.87426745,No,117.5050774,1.44012567,16.54419,55.31753121
,Medium Value,148.8209095,205.4686852,75.14196771,,Yes,56.6477757,-75.14196771,18.63407,38.06439289
Treatment,Low Value,243.1744432,381.9821511,60.96212379,57.78326873,No,138.8077079,-3.17885506,15.23091,57.08153623
Treatment,,213.3800274,336.5037087,46.92567888,,Yes,123.1236813,-46.92567888,11.86216,57.70159597
Control,,145.776722,169.464662,,59.63226629,No,23.68794,59.63226629,0.6,16.24946677
Control,,118.4787515,131.9946581,54.61070973,,,13.5159066,-54.61070973,13.70657,11.40787393
Treatment,Medium Value,254.9159619,382.7157749,54.29396465,38.63686455,No,127.799813,-15.6571001,13.63055,50.13409598
Control,High Value,150.1213493,176.9867132,100,100,No,26.8653639,0,24.6,17.89576501
,Low Value,198.5233304,298.3104869,54.51729984,60.55903957,Yes,99.7871565,6.04173973,13.68415,50.26470002
,Low Value,176.1165617,270.9007465,58.06144163,59.56746175,Yes,94.7841848,1.50602012,14.53475,53.81900707
Control,Low Value,227.543099,271.1084,51.7086552,,Yes,43.565301,-51.7086552,13.01008,19.14595573
Treatment,High Value,286.1776103,444.3399907,98.31876085,,Yes,158.1623804,-98.31876085,24.1965,55.26720984
Control,Low Value,159.412235,196.6609151,52.90155339,52.34551303,No,37.2486801,-0.55604036,13.29637,23.36626176
Control,,289.222313,352.7509146,98.24164075,100,Yes,63.5286016,1.75835925,24.17799,21.96531828
Control,Medium Value,,236.8717434,,89.01690756,,236.8717434,89.01690756,0,0
Control,Medium Value,203.8462203,243.7668889,47.49939588,64.54732473,Yes,39.9206686,17.04792885,11.99986,19.58371783
Treatment,,223.4834776,348.107889,79.44215981,,Yes,124.6244114,-79.44215981,19.66612,55.76448547
Control,High Value,358.6663201,437.1887591,,81.66130539,Yes,78.522439,81.66130539,0.6,21.89289448
Treatment,,185.1831727,286.6323283,45.83015157,42.28686252,Yes,101.4491556,-3.54328905,11.59924,54.78313938
Treatment,Low Value,122.2843735,194.1181641,43.5705266,54.90482345,Yes,71.8337906,11.33429685,11.05693,58.74322985
Treatment,Low Value,160.4832597,262.928164,55.51623353,57.64307571,Yes,102.4449043,2.12684218,13.9239,63.83525889
Treatment,Low Value,232.3538793,362.2585321,55.47901717,62.08280472,No,129.9046528,6.60378755,13.91496,55.90810586
Control,,184.3636947,216.1070553,49.77794583,74.48665975,Yes,31.7433606,24.70871392,12.54671,17.21779369
,High Value,242.1318337,284.5810139,73.79336966,93.07704202,No,42.4491802,19.28367236,18.31041,17.531433
Treatment,,187.5579382,283.1382434,72.32678266,80.96924157,Yes,95.5803052,8.64245891,17.95843,50.96041581
Treatment,Low Value,73.0348272,116.1922886,54.38022103,,No,43.1574614,-54.38022103,13.65125,59.09161842
,,178.3347384,213.4866112,,85.89386008,No,35.1518728,85.89386008,0.6,19.71117524
,High Value,231.2414509,353.6782818,100,87.4166779,Yes,122.4368309,-12.5833221,24.6,52.94761403
Control,High Value,140.9668288,,,100,No,-140.9668288,100,0.6,-100
,,133.3021492,201.9325445,57.04127435,,Yes,68.6303953,-57.04127435,14.28991,51.4848378
Control,High Value,221.0155438,262.864323,71.08520048,66.53990978,Yes,41.8487792,-4.5452907,17.66045,18.93476743
Treatment,Medium Value,194.1858174,293.1567152,71.41800543,72.84539759,No,98.9708978,1.42739216,17.74032,50.9671093
,,205.9662646,317.3367416,61.4708891,56.41460072,No,111.370477,-5.05628838,15.35301,54.07219343
Control,Low Value,174.9879392,203.1033887,60.08933436,,Yes,28.1154495,-60.08933436,15.02144,16.06707847
,Medium Value,239.2647216,368.892489,95.32308201,91.29926711,No,129.6277674,-4.0238149,23.47754,54.17755135
,Low Value,159.9262321,238.776375,60.6471286,60.390358,Yes,78.8501429,-0.2567706,15.15531,49.30407092
Control,Low Value,210.6313737,,43.31565207,62.92424736,No,-210.6313737,19.60859529,10.99576,-100
Treatment,Medium Value,286.6959203,438.0400767,54.18001205,73.65861898,No,151.3441564,19.47860693,13.6032,52.78908617
Control,Low Value,199.5690939,233.3873475,54.03985286,53.35019058,Yes,33.8182536,-0.68966228,13.56956,16.94563669
,Low Value,178.6271995,206.9077803,55.7908083,63.3125114,No,28.2805808,7.5217031,13.98979,15.83218059
,Medium Value,174.7900029,266.3966048,67.24012473,72.74065521,Yes,91.6066019,5.50053048,16.73763,52.40952021
Treatment,High Value,241.2676999,350.3323785,100,100,Yes,109.0646786,0,24.6,45.20484037
Treatment,Medium Value,202.1203469,317.0584469,45.64659905,44.56088729,Yes,114.9381,-1.08571176,11.55518,56.86616996
Treatment,Low Value,220.1717104,342.2191748,49.8829854,,Yes,122.0474644,-49.8829854,12.57192,55.43285474
Treatment,Medium Value,127.1296684,,48.81000011,48.42613936,Yes,-127.1296684,-0.38386075,12.3144,-100
,Low Value,190.6863489,292.9170298,47.92017735,49.71919299,No,102.2306809,1.79901564,12.10084,53.6119557
,Low Value,219.4920813,348.0927308,52.24300785,,Yes,128.6006495,-52.24300785,13.13832,58.59010892
Control,Medium Value,220.3696189,257.2017319,82.6469945,84.94466922,Yes,36.832113,2.29767472,20.43528,16.71378894
Treatment,,173.2063053,254.6598266,44.58668375,,,81.4535213,-44.58668375,11.3008,47.02687997
Control,High Value,215.9212795,257.7447857,87.99973586,95.86446768,No,41.8235062,7.86473182,21.71994,19.36979361
Treatment,Low Value,145.8093834,237.75814,50.91724642,61.64892015,No,91.9487566,10.73167373,12.82014,63.06093233
Treatment,,229.7897925,366.2309995,70.7021663,95.05412021,Yes,136.441207,24.35195391,17.56852,59.37653084
,High Value,255.3227774,,,70.86161617,No,-255.3227774,70.86161617,0.6,-100
Treatment,High Value,161.3458684,267.4410588,,94.41004358,No,106.0951904,94.41004358,0.6,65.7563726
Treatment,,203.8462203,316.8969556,48.04568656,54.52824858,Yes,113.0507353,6.48256202,12.13096,55.4588332
Control,,183.030804,,74.56868801,91.94060147,Yes,-183.030804,17.37191346,18.49649,-100
Treatment,,173.7087311,265.7196666,61.9458051,,No,92.0109355,-61.9458051,15.46699,52.96851512
Treatment,,276.4097121,409.8490791,53.36425594,57.05993473,No,133.439367,3.69567879,13.40742,48.27593285
Treatment,,291.0564553,461.8867891,90.31663015,89.71155365,No,170.8303338,-0.6050765,22.27599,58.69319532
Control,,147.6533002,174.2317,73.16360029,63.11291112,No,26.5783998,-10.05068917,18.15926,18.00054571
Treatment,Low Value,,212.0954535,60.06002562,71.74399677,Yes,212.0954535,11.68397115,0,0
Treatment,High Value,169.163159,257.8834795,80.16653185,75.66019276,No,88.7203205,-4.50633909,19.83997,52.44659713
Treatment,,261.178142,397.127132,52.20314853,44.83895407,No,135.94899,-7.36419446,13.12876,52.05220811
Treatment,High Value,,301.0508134,85.24479764,88.29445956,Yes,301.0508134,3.04966192,0,0
Control,Low Value,124.6918365,144.0761101,,34.90778618,Yes,19.3842736,34.90778618,0.6,15.54574393
Control,,,326.1408929,64.54836593,59.54384353,No,326.1408929,-5.0045224,0,0
Treatment,High Value,261.7407705,396.2162727,,95.66322923,No,134.4755022,95.66322923,0.6,51.37736163
